sector,combined_score,pbr_score,mom_score,pbr_quintile,mom_quintile
건설,1.0,1.0,1.0,Q5,Q5
운송,0.9249999999999999,0.75,1.0,Q4,Q5
기계장비,0.7499999999999999,0.75,0.75,Q4,Q4
